case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905101_02,single_expiry,0.01,seed_29/repaired,refined,10,5,0,0,0,5.2520272801644296e-05,0.0013857121931654935,0.637631890275476,2.028260041737751,False,False,0.31535599999915576,8.43769498715119e-15,7.882583474838611e-15,False
905101_02,single_expiry,0.01,seed_43/repaired,encoder,10,5,0,0,0,0.0004922167355347796,0.008135953375195229,0.7912356056897979,2.3929249375887465,False,False,0.003166832997521851,8.43769498715119e-15,8.003580437287994e-15,False
905101_02,single_expiry,0.01,seed_43/repaired,refined,10,5,0,0,0,7.259452098086768e-05,0.0016923604586712648,0.6676981379066393,2.113362539466397,False,False,0.3266396659964812,8.43769498715119e-15,7.684824998577255e-15,False
905101_02,single_expiry,0.01,seed_43/repaired,hybrid_polish,10,5,0,0,0,0.00014381187470155062,0.006584766877083612,3.9302121553886336,11.474420617089237,False,False,19.359182249994774,8.43769498715119e-15,7.840950111415168e-15,False
905101_03,rich,0.0,unified_v6/unified,encoder,60,30,0,0,0,0.0016069572065272248,0.008846605198400043,0.792716980357468,2.764273836759813,False,False,0.005083875003037974,1.3433698597964394e-14,1.2934098236883074e-14,False
905101_03,rich,0.0,unified_v6/unified,refined,60,30,0,0,0,0.00037141058820932524,0.001580182043889402,0.4868085438376924,1.362113667571137,False,False,0.3335557090031216,1.3433698597964394e-14,1.2545520178264269e-14,False
905101_03,rich,0.0,seed_17/repaired,encoder,60,30,0,0,0,0.0016128195704276946,0.008204541762097603,0.7719620410345193,2.6836788129342883,False,False,0.004438167001353577,1.3433698597964394e-14,1.2934098236883074e-14,False
905101_03,rich,0.0,seed_17/repaired,refined,60,30,0,0,0,0.00043902479425550223,0.0012880389260212532,0.34861792147528436,1.4665462638704,False,False,0.33398783399752574,1.3433698597964394e-14,1.27675647831893e-14,False
905101_03,rich,0.0,seed_29/repaired,encoder,60,30,0,0,0,0.0013062735783161453,0.007699421103433353,0.7714267213719306,2.65563234976823,False,False,0.004606874994351529,1.3433698597964394e-14,1.2656542480726785e-14,False
905101_03,rich,0.0,seed_29/repaired,refined,60,30,0,0,0,0.0004928982408358109,0.0014525289652143655,0.3881916576317478,1.5183752339983687,False,False,0.3374251249988447,1.3433698597964394e-14,1.2712053631958042e-14,False
905101_03,rich,0.0,seed_43/repaired,encoder,60,30,0,0,0,0.0019009460740499085,0.00861370093069438,0.7737995216663838,2.6599341480976273,False,False,0.005059666000306606,1.3433698597964394e-14,1.2712053631958042e-14,False
905101_03,rich,0.0,seed_43/repaired,refined,60,30,0,0,0,0.00045599689627068453,0.0013409944566204056,0.35840744035727334,1.4685090102236462,False,False,0.34368095800164156,1.3433698597964394e-14,1.2712053631958042e-14,False
905101_03,rich,0.0,seed_43/repaired,hybrid_polish,60,30,0,0,0,1.0807584815543352e-16,1.989715374808248e-15,2.9668391060973876e-12,1.2713106406315809e-11,True,True,2.115765292001015,1.3433698597964394e-14,1.2823075934420558e-14,False
905101_03,rich,0.01,unified_v6/unified,encoder,60,30,0,0,0,0.0020736427540572933,0.009678535724108197,0.79941697047418,2.819080344336141,False,False,0.004464332996576559,1.3433698597964394e-14,1.2823075934420558e-14,False
905101_03,rich,0.01,unified_v6/unified,refined,60,30,0,0,0,0.0003169744317506023,0.0022008349183955125,0.5315497185475303,1.2806988532785746,False,False,0.34195275000092806,1.3433698597964394e-14,1.2823075934420558e-14,False
