case,geometry,noise,model,arm,parameter,true,estimated,absolute_error
905101_00,single_expiry,0.0,unified_v6/unified,refined,rho_slow,-0.39058756248758686,-0.18577113090202113,0.20481643158556573
905101_00,single_expiry,0.0,unified_v6/unified,refined,v0_slow,0.0520946267116691,0.07354553528139218,0.021450908569723086
905101_00,single_expiry,0.0,unified_v6/unified,refined,kappa_fast,8.066470891631734,7.212109022360078,0.8543618692716564
905101_00,single_expiry,0.0,unified_v6/unified,refined,theta_fast,0.07812599327953584,0.05916642974722838,0.01895956353230746
905101_00,single_expiry,0.0,unified_v6/unified,refined,sigma_fast,0.4195628559849137,0.4183174774358663,0.0012453785490474378
905101_00,single_expiry,0.0,unified_v6/unified,refined,rho_fast,-0.22326062210053133,-0.23670723601631846,0.013446613915787137
905101_00,single_expiry,0.0,unified_v6/unified,refined,v0_fast,0.08938647236998075,0.0638042181415514,0.025582254228429344
905101_00,single_expiry,0.0,seed_17/repaired,encoder,kappa_slow,0.4515711432074293,0.4917423131346681,0.04017116992723879
905101_00,single_expiry,0.0,seed_17/repaired,encoder,theta_slow,0.031871077108963926,0.06482184769938094,0.03295077059041702
905101_00,single_expiry,0.0,seed_17/repaired,encoder,sigma_slow,0.036660762881715,0.12867982962355176,0.09201906674183677
905101_00,single_expiry,0.0,seed_17/repaired,encoder,rho_slow,-0.39058756248758686,-0.3684447711552496,0.022142791332337264
905101_00,single_expiry,0.0,seed_17/repaired,encoder,v0_slow,0.0520946267116691,0.0671852740408605,0.015090647329191402
905101_00,single_expiry,0.0,seed_17/repaired,encoder,kappa_fast,8.066470891631734,7.078939750210527,0.9875311414212078
905101_00,single_expiry,0.0,seed_17/repaired,encoder,theta_fast,0.07812599327953584,0.06676642865530077,0.011359564624235069
905101_00,single_expiry,0.0,seed_17/repaired,encoder,sigma_fast,0.4195628559849137,0.4789537540283056,0.05939089804339187
905101_00,single_expiry,0.0,seed_17/repaired,encoder,rho_fast,-0.22326062210053133,-0.05277005239627472,0.1704905697042566
905101_00,single_expiry,0.0,seed_17/repaired,encoder,v0_fast,0.08938647236998075,0.0646385648377586,0.024747907532222155
905101_00,single_expiry,0.0,seed_17/repaired,refined,kappa_slow,0.4515711432074293,0.4644238802784113,0.012852737070982001
905101_00,single_expiry,0.0,seed_17/repaired,refined,theta_slow,0.031871077108963926,0.05619180470063214,0.024320727591668215
905101_00,single_expiry,0.0,seed_17/repaired,refined,sigma_slow,0.036660762881715,0.11173545321019904,0.07507469032848404
905101_00,single_expiry,0.0,seed_17/repaired,refined,rho_slow,-0.39058756248758686,-0.19398545090869387,0.19660211157889299
905101_00,single_expiry,0.0,seed_17/repaired,refined,v0_slow,0.0520946267116691,0.07350874389437344,0.02141411718270434
905101_00,single_expiry,0.0,seed_17/repaired,refined,kappa_fast,8.066470891631734,6.792088344832825,1.2743825467989094
905101_00,single_expiry,0.0,seed_17/repaired,refined,theta_fast,0.07812599327953584,0.057193907765776424,0.02093208551375942
905101_00,single_expiry,0.0,seed_17/repaired,refined,sigma_fast,0.4195628559849137,0.4079916028552215,0.011571253129692205
905101_00,single_expiry,0.0,seed_17/repaired,refined,rho_fast,-0.22326062210053133,-0.23335877441808367,0.010098152317552345
905101_00,single_expiry,0.0,seed_17/repaired,refined,v0_fast,0.08938647236998075,0.06600546376344128,0.023381008606539466
905101_00,single_expiry,0.0,seed_29/repaired,encoder,kappa_slow,0.4515711432074293,0.4982782731199608,0.04670712991253151
905101_00,single_expiry,0.0,seed_29/repaired,encoder,theta_slow,0.031871077108963926,0.06779052051536638,0.035919443406402456
905101_00,single_expiry,0.0,seed_29/repaired,encoder,sigma_slow,0.036660762881715,0.13008309061964793,0.09342232773793294
905101_00,single_expiry,0.0,seed_29/repaired,encoder,rho_slow,-0.39058756248758686,-0.36533826378732537,0.02524929870026149
905101_00,single_expiry,0.0,seed_29/repaired,encoder,v0_slow,0.0520946267116691,0.06768162985283734,0.015587003141168239
905101_00,single_expiry,0.0,seed_29/repaired,encoder,kappa_fast,8.066470891631734,7.350631848488376,0.7158390431433581
905101_00,single_expiry,0.0,seed_29/repaired,encoder,theta_fast,0.07812599327953584,0.0716807314511999,0.006445261828335949
905101_00,single_expiry,0.0,seed_29/repaired,encoder,sigma_fast,0.4195628559849137,0.498718233915394,0.07915537793048028
905101_00,single_expiry,0.0,seed_29/repaired,encoder,rho_fast,-0.22326062210053133,-0.06569095269063747,0.15756966940989386
905101_00,single_expiry,0.0,seed_29/repaired,encoder,v0_fast,0.08938647236998075,0.06619933933507165,0.023187133034909102
905101_00,single_expiry,0.0,seed_29/repaired,refined,kappa_slow,0.4515711432074293,0.4712649577347369,0.019693814527307618
905101_00,single_expiry,0.0,seed_29/repaired,refined,theta_slow,0.031871077108963926,0.0576562329302124,0.025785155821248476
905101_00,single_expiry,0.0,seed_29/repaired,refined,sigma_slow,0.036660762881715,0.11171852086876025,0.07505775798704525
