case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,quote,holdout,strike,tau,true_price_spot,observed_price_spot,true_iv,observed_iv
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,119,True,1.08,2.0,0.2379496056964088,0.2379496056964088,0.4798466356214008,0.4798466356214008
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,120,False,1.1,2.0,0.23168129732620574,0.23168129732620574,0.4801033272869737,0.4801033272869737
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,121,False,1.12,2.0,0.2256043534556269,0.2256043534556269,0.4803589707531689,0.4803589707531689
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,122,True,1.1400000000000001,2.0,0.21971259000442073,0.21971259000442073,0.4806135292193253,0.4806135292193253
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,123,False,1.16,2.0,0.2139999993580145,0.2139999993580145,0.4808669702800379,0.4808669702800379
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,124,False,1.18,2.0,0.20846074952857624,0.20846074952857624,0.4811192655096084,0.4811192655096084
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,125,True,1.2,2.0,0.20308918270020576,0.20308918270020576,0.48137039008826316,0.48137039008826316
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,0,False,0.8,0.0821917808219178,0.2005492759311551,0.2005492759311551,0.3646766528593224,0.3646766528593224
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,1,False,0.8200000000000001,0.0821917808219178,0.18103517101756975,0.18103517101756975,0.3637760291688021,0.3637760291688021
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,2,True,0.8400000000000001,0.0821917808219178,0.16184774252959527,0.16184774252959527,0.36291601804032625,0.36291601804032625
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,3,False,0.86,0.0821917808219178,0.1431355073803515,0.1431355073803515,0.36209494098695627,0.36209494098695627
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,4,False,0.88,0.0821917808219178,0.1250764901345856,0.1250764901345856,0.3613112051767701,0.3613112051767701
