condition,case,model,parameter,true,estimated,absolute_error
Clean,5,Selected regularized PINN,theta_s,0.03001718636435247,0.03307176839726812,0.003054582032915653
Clean,5,Selected regularized PINN,sigma_s,0.09723368607536052,0.09200240197254392,0.005231284102816605
Clean,5,Selected regularized PINN,rho_s,-0.23780107609617018,-0.22471971362957444,0.013081362466595747
Clean,5,Selected regularized PINN,v0_s,0.014319004875600616,0.016123285755138862,0.0018042808795382462
Clean,5,Selected regularized PINN,kappa_f,6.323304805694872,6.354447408034568,0.031142602339696346
Clean,5,Selected regularized PINN,theta_f,0.014272831731980119,0.012583922779932564,0.0016889089520475548
Clean,5,Selected regularized PINN,sigma_f,0.11195723066688505,0.12765745109668,0.01570022042979495
Clean,5,Selected regularized PINN,rho_f,-0.16327532289378616,-0.15048547414022395,0.012789848753562205
Clean,5,Selected regularized PINN,v0_f,0.038554470934524125,0.036737690748959544,0.0018167801855645815
Clean,6,Original Double Heston,kappa_s,0.3692759620611977,0.4994397785440763,0.13016381648287856
Clean,6,Original Double Heston,theta_s,0.15850002970609375,0.13794986485250352,0.020550164853590236
Clean,6,Original Double Heston,sigma_s,0.17697948854612758,0.23153400527640375,0.05455451673027617
Clean,6,Original Double Heston,rho_s,-0.24646736250667112,-0.22424222808044536,0.022225134426225757
Clean,6,Original Double Heston,v0_s,0.01557725487054183,0.009599251581950559,0.0059780032885912715
Clean,6,Original Double Heston,kappa_f,3.6064917377187222,4.310290046922685,0.7037983092039624
Clean,6,Original Double Heston,theta_f,0.05909356515932603,0.05873910560554509,0.0003544595537809392
Clean,6,Original Double Heston,sigma_f,0.27072333601476417,0.2494701959616326,0.02125314005313156
Clean,6,Original Double Heston,rho_f,-0.14331036505150863,-0.15760986304409424,0.01429949799258562
Clean,6,Original Double Heston,v0_f,0.031629167715021354,0.03748260924525305,0.005853441530231693
Clean,6,Unregularized matched PINN,kappa_s,0.3692759620611977,0.4479897646816328,0.07871380262043509
Clean,6,Unregularized matched PINN,theta_s,0.15850002970609375,0.15121091101988704,0.007289118686206714
Clean,6,Unregularized matched PINN,sigma_s,0.17697948854612758,0.1813376565648106,0.004358168018683023
Clean,6,Unregularized matched PINN,rho_s,-0.24646736250667112,-0.22446113933583545,0.02200622317083567
Clean,6,Unregularized matched PINN,v0_s,0.01557725487054183,0.0198191240842377,0.004241869213695871
Clean,6,Unregularized matched PINN,kappa_f,3.6064917377187222,3.9454121777253146,0.3389204400065924
Clean,6,Unregularized matched PINN,theta_f,0.05909356515932603,0.051358912370365925,0.007734652788960107
Clean,6,Unregularized matched PINN,sigma_f,0.27072333601476417,0.27899536456968466,0.008272028554920485
Clean,6,Unregularized matched PINN,rho_f,-0.14331036505150863,-0.1432638926218316,4.64724296770358e-05
Clean,6,Unregularized matched PINN,v0_f,0.031629167715021354,0.02733604515292425,0.004293122562097105
Clean,6,Selected regularized PINN,kappa_s,0.3692759620611977,0.4518187863860494,0.08254282432485166
Clean,6,Selected regularized PINN,theta_s,0.15850002970609375,0.1510962098570268,0.0074038198490669616
Clean,6,Selected regularized PINN,sigma_s,0.17697948854612758,0.180879257630465,0.0038997690843374233
Clean,6,Selected regularized PINN,rho_s,-0.24646736250667112,-0.2241206431332483,0.022346719373422808
Clean,6,Selected regularized PINN,v0_s,0.01557725487054183,0.020160217974110606,0.004582963103568776
Clean,6,Selected regularized PINN,kappa_f,3.6064917377187222,3.961542492014014,0.35505075429529187
Clean,6,Selected regularized PINN,theta_f,0.05909356515932603,0.0508568427683986,0.008236722390927431
Clean,6,Selected regularized PINN,sigma_f,0.27072333601476417,0.28011086264994817,0.009387526635183996
Clean,6,Selected regularized PINN,rho_f,-0.14331036505150863,-0.1429345185327166,0.00037584651879202235
Clean,6,Selected regularized PINN,v0_f,0.031629167715021354,0.026993871546291626,0.004635296168729729
Clean,7,Original Double Heston,kappa_s,0.9076180612997954,0.8775916357364443,0.03002642556335111
Clean,7,Original Double Heston,theta_s,0.01197232193892187,0.007785172081023608,0.004187149857898262
Clean,7,Original Double Heston,sigma_s,0.04051372282993217,0.04909270831855387,0.008578985488621703
Clean,7,Original Double Heston,rho_s,-0.6540467560010492,-0.5911431020203721,0.0629036539806771
Clean,7,Original Double Heston,v0_s,0.11396125774424556,0.10900611213800346,0.004955145606242106
Clean,7,Original Double Heston,kappa_f,7.520550212518103,7.221371284700242,0.29917892781786115
Clean,7,Original Double Heston,theta_f,0.02792726759433518,0.031139520583314494,0.003212252988979314
Clean,7,Original Double Heston,sigma_f,0.16718612756774598,0.10059902449657446,0.06658710307117152
Clean,7,Original Double Heston,rho_f,0.10456066494967098,0.19854530965460548,0.0939846447049345
Clean,7,Original Double Heston,v0_f,0.08304758995657621,0.08772394599723951,0.004676356040663299
Clean,7,Unregularized matched PINN,kappa_s,0.9076180612997954,0.9024158091242382,0.005202252175557143
