run,selected_step,case,factor,parameter,truth,estimate,signed_error,relative_error,training_scaled_error,absolute_gate_tolerance,absolute_error_in_gate_units,parameter_pass,optimizer_success
double_continue_pde002_s17,4000,1,1,sigma,0.16000932620347494,0.15889014872531,-0.001119177478164951,-0.006994451540541802,-0.006994451540541802,0.008000466310173747,0.13988903081083603,True,True
double_continue_pde002_s17,4000,1,1,rho,-0.2751483136038373,-0.26124079324680816,0.013907520357029135,,0.02781504071405827,0.05,0.2781504071405827,True,True
double_continue_pde002_s17,4000,1,1,v0,0.04971122380326658,0.038863568544096005,-0.010847655259170572,-0.2182134019090023,-0.2182134019090023,0.002485561190163329,4.364268038180046,False,True
double_continue_pde002_s17,4000,1,2,kappa,4.620666744981078,4.686439007655651,0.06577226267457359,0.014234366229941765,0.014234366229941765,0.2310333372490539,0.2846873245988353,True,True
double_continue_pde002_s17,4000,1,2,theta,0.036384226246289605,0.04670878666673142,0.010324560420441817,0.28376473778921424,0.28376473778921424,0.0018192113123144803,5.675294755784285,False,True
double_continue_pde002_s17,4000,1,2,sigma,0.16861484497092516,0.17546499549206218,0.006850150521137022,0.04062602271062324,0.04062602271062324,0.008430742248546258,0.8125204542124648,True,True
double_continue_pde002_s17,4000,1,2,rho,-0.12502339170672105,-0.18393891500851878,-0.05891552330179772,,-0.11783104660359545,0.05,1.1783104660359545,False,True
double_continue_pde002_s17,4000,1,2,v0,0.02029710456417884,0.031083488153141742,0.010786383588962903,0.5314247436059996,0.5314247436059996,0.001014855228208942,10.62849487211999,False,True
double_continue_pde002_s17,4000,2,1,kappa,0.9412413534942901,0.9321706978612223,-0.009070655633067748,-0.009636907260176785,-0.009636907260176785,0.047062067674714506,0.1927381452035357,True,True
double_continue_pde002_s17,4000,2,1,theta,0.017039199481476336,0.013587886885444869,-0.003451312596031467,-0.20255133463185637,-0.20255133463185637,0.0008519599740738168,4.0510266926371274,False,True
double_continue_pde002_s17,4000,2,1,sigma,0.09645169951518268,0.09409049274326975,-0.002361206771912927,-0.024480717123509518,-0.024480717123509518,0.0048225849757591345,0.48961434247019026,True,True
double_continue_pde002_s17,4000,2,1,rho,-0.5605928476095997,-0.7017924524089756,-0.14119960479937588,,-0.28239920959875175,0.05,2.8239920959875175,False,True
double_continue_pde002_s17,4000,2,1,v0,0.033240407194620354,0.029562597071542986,-0.003677810123077368,-0.110642751803371,-0.110642751803371,0.0016620203597310177,2.2128550360674204,False,True
double_continue_pde002_s17,4000,2,2,kappa,6.113867576332211,6.233396809967394,0.1195292336351832,0.01955051072710514,0.01955051072710514,0.3056933788166106,0.3910102145421028,True,True
double_continue_pde002_s17,4000,2,2,theta,0.03023963429925578,0.033691702897538235,0.003452068598282454,0.11415708814862922,0.11415708814862922,0.0015119817149627892,2.2831417629725843,False,True
double_continue_pde002_s17,4000,2,2,sigma,0.19754865714978864,0.16738368933560716,-0.030164967814181487,-0.15269639515346997,-0.15269639515346997,0.009877432857489432,3.0539279030693995,False,True
double_continue_pde002_s17,4000,2,2,rho,-0.044552561406894675,0.006843188882620033,0.05139575028951471,,0.10279150057902942,0.05,1.0279150057902942,False,True
double_continue_pde002_s17,4000,2,2,v0,0.014806297704956386,0.018408368306395032,0.003602070601438646,0.2432796282512176,0.2432796282512176,0.0007403148852478193,4.865592565024352,False,True
double_continue_pde002_s17,4000,3,1,kappa,0.33124504983912395,0.44614402921837554,0.11489897937925159,0.34687002699377595,0.34687002699377595,0.016562252491956198,6.937400539875519,False,True
double_continue_pde002_s17,4000,3,1,theta,0.04721768860646289,0.04772192390468006,0.0005042352982171719,0.010678949205238205,0.010678949205238205,0.0023608844303231445,0.21357898410476409,True,True
double_continue_pde002_s17,4000,3,1,sigma,0.09961979094491745,0.11368896279690086,0.014069171851983406,0.14122868276006162,0.14122868276006162,0.004980989547245873,2.8245736552012324,False,True
double_continue_pde002_s17,4000,3,1,rho,-0.0657839115595773,-0.04988357816087674,0.01590033339870056,,0.03180066679740112,0.05,0.3180066679740112,True,True
double_continue_pde002_s17,4000,3,1,v0,0.03544834961452888,0.03759420745315659,0.00214585783862771,0.06053477417036666,0.06053477417036666,0.0017724174807264442,1.2106954834073331,False,True
double_continue_pde002_s17,4000,3,2,kappa,8.00549473509912,7.95528292426007,-0.05021181083905013,-0.006272168366922102,-0.006272168366922102,0.400274736754956,0.12544336733844202,True,True
