symbol,trade_date,kappa,theta,sigma,rho,v0,objective,optimizer_evaluations,starting_value_loss_spread,calibration_rows,holdout_rows,calibration_iv_rmse,holdout_iv_rmse,feller_gap
NHPC,2025-05-05,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.18056938859292332,1.1146423126707452e-05,44,2.4346003198408186e-11,7,3,0.011161970280961326,0.006867837797375691,0.04316414314955441
NHPC,2025-05-16,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.22199816136987713,1.1146423126707452e-05,44,2.4346003198408186e-11,13,6,0.0158359751960007,0.012314588576138251,0.04316414314955441
NHPC,2025-06-06,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.07410459019707138,1.1146423126707452e-05,44,2.4346003198408186e-11,9,5,0.01037149873789476,0.004631497956708338,0.04316414314955441
NHPC,2025-07-03,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.03841741891655403,1.1146423126707452e-05,44,2.4346003198408186e-11,7,3,0.004026648428636331,0.007189335712656856,0.04316414314955441
NHPC,2025-07-10,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.050293122636850714,1.1146423126707452e-05,44,2.4346003198408186e-11,11,5,0.005283713195688973,0.00545268340742741,0.04316414314955441
NHPC,2025-08-29,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.016881692288796622,1.1146423126707452e-05,44,2.4346003198408186e-11,12,6,0.006953907179182166,0.003662484101864682,0.04316414314955441
NHPC,2025-09-05,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.025963422324709134,1.1146423126707452e-05,44,2.4346003198408186e-11,11,5,0.007053569115199086,0.006889093586892528,0.04316414314955441
NHPC,2025-09-26,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.022138842304658554,1.1146423126707452e-05,44,2.4346003198408186e-11,6,3,0.003431396681643539,0.005974096168606563,0.04316414314955441
NHPC,2025-10-20,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.049881300341516374,1.1146423126707452e-05,44,2.4346003198408186e-11,9,5,0.04938535462699366,0.03747847932174482,0.04316414314955441
NHPC,2025-11-25,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.005333673379819353,1.1146423126707452e-05,44,2.4346003198408186e-11,9,4,0.009957560100944786,0.006253718930676467,0.04316414314955441
NTPC,2024-07-08,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.07713074111963168,2.1298601727881313e-05,22,4.1115555513178415e-12,10,5,0.015104643863437371,0.014327174845149714,0.025388262253547733
