dimension,group,model,rows,iv_rmse,iv_mae,iv_bias,pooled_iv_r2,within_surface_centered_r2,mean_surface_iv_rmse,median_surface_iv_rmse
symbol,NTPC,flat_anchor_iv,840,0.044273421186656024,0.022940548589224993,-0.013423036609537548,0.09874988985316557,-0.004834385958811138,0.033751074421816796,0.024245917714023
symbol,NTPC,quadratic_anchor_smile,840,0.025084511269919854,0.006779079765621775,0.0012085006399189377,0.7106853318753383,0.664886859015007,0.012276891552668433,0.00530108338633686
symbol,NTPC,heston_training_median_v0,840,0.048209151606909986,0.0412178095884071,0.031193447290256932,-0.0686073140810326,0.5100479387457537,0.04470733876951069,0.04229402890954137
symbol,NTPC,heston_prior_available_v0,812,0.03353554984562386,0.020425045319276813,-0.006535901525953808,0.4670541925722257,0.5881185164077057,0.025553206479481384,0.01724850359210955
symbol,NTPC,heston_shuffled_v0,840,0.03881072867445675,0.027878347365819667,-0.008374464053990232,0.3074314623354284,0.5266062117816341,0.032935561012227076,0.030441945017772892
symbol,NTPC,heston_train_half_a,840,0.02984687791683855,0.014632232163956491,-0.0067120304759817504,0.5904027961408225,0.5904648320051782,0.02116313271189977,0.013319777904095127
symbol,NTPC,heston_train_half_b,840,0.029928342915456978,0.014546729033547787,-0.0068949200551958936,0.5881638099832232,0.5833285658981515,0.021063291286340588,0.012874582279036307
symbol,POWERGRID,heston_same_day_v0,668,0.01891677710541346,0.011164694221581596,0.0009091386561200262,0.7763998659495519,0.6777194570892309,0.014356172185459414,0.010892096440324003
symbol,POWERGRID,flat_anchor_iv,668,0.026632092136759322,0.014731149731891578,-0.008599545786809857,0.5568116500470779,-0.01633154206905063,0.021569161420642812,0.018015501026700367
symbol,POWERGRID,quadratic_anchor_smile,668,0.0074712110927878305,0.0041579207928002255,0.00026307062849214555,0.9651213408605507,0.9100336989400751,0.006094559926052099,0.004849472018217652
symbol,POWERGRID,heston_training_median_v0,668,0.040177297702549866,0.032594957764883345,-4.6469222240601585e-05,-0.008647026186693774,0.6646665010805899,0.03365502906885623,0.030709328002355922
symbol,POWERGRID,heston_prior_available_v0,650,0.026257105153859903,0.017842217212547324,0.001306597531245109,0.5559554297533787,0.6071370965124803,0.02102748392191603,0.014138749886500735
symbol,POWERGRID,heston_shuffled_v0,665,0.05313522383839214,0.04367346026978304,-0.00552573599949589,-0.8687424503474059,0.4085783739332377,0.04540582435840863,0.0427148482066559
