spot,strike,tau,rate,dividend,call_price,pinn_price,absolute_error
100.0,120.73529411764706,0.85,0.03,0.01,1.8889212630150247,1.8916996647860576,0.0027784017710328346
100.0,125.58823529411765,0.85,0.03,0.01,1.2748561282171043,1.2746044795970306,0.0002516486200736523
100.0,130.44117647058823,0.85,0.03,0.01,0.8459884764025869,0.8469303552521181,0.0009418788495312302
100.0,135.2941176470588,0.85,0.03,0.01,0.5527889267820365,0.5523105099759265,0.0004784168061100491
100.0,140.1470588235294,0.85,0.03,0.01,0.35616681481946166,0.3480277850189914,0.008139029800470265
100.0,145.0,0.85,0.03,0.01,0.2265793190901757,0.20773594696892358,0.018843372121252117
100.0,62.5,1.1,0.03,0.01,38.48657200659054,38.47341443356676,0.013157573023782732
100.0,67.3529411764706,1.1,0.03,0.01,33.88606764923945,33.887016747359084,0.0009490981196336179
100.0,72.20588235294117,1.1,0.03,0.01,29.396150326294133,29.395339471994557,0.0008108542995763912
100.0,77.05882352941177,1.1,0.03,0.01,25.08688137433313,25.085491879840088,0.001389494493043486
100.0,81.91176470588235,1.1,0.03,0.01,21.037263197826903,21.037630389443795,0.0003671916168919154
100.0,86.76470588235294,1.1,0.03,0.01,17.32284480196455,17.324820485471463,0.0019756835069131284
100.0,91.61764705882354,1.1,0.03,0.01,14.00360750173801,14.006600114322696,0.002992612584685972
100.0,96.47058823529412,1.1,0.03,0.01,11.115648904371767,11.120282937989776,0.00463403361800907
100.0,101.3235294117647,1.1,0.03,0.01,8.668283986214483,8.675411562005127,0.007127575790644158
100.0,106.17647058823529,1.1,0.03,0.01,6.646184615329155,6.655225283378607,0.009040668049452805
100.0,111.02941176470588,1.1,0.03,0.01,5.014914144470886,5.024413068483081,0.009498924012194543
100.0,115.88235294117646,1.1,0.03,0.01,3.72787277996418,3.737163038580309,0.009290258616128977
100.0,120.73529411764706,1.1,0.03,0.01,2.7330038990128713,2.7410318363755826,0.008027937362711235
100.0,125.58823529411765,1.1,0.03,0.01,1.9782408917883316,1.9825783996522484,0.004337507863916734
100.0,130.44117647058823,1.1,0.03,0.01,1.4152941969153794,1.414697672508576,0.0005965244068033559
100.0,135.2941176470588,1.1,0.03,0.01,1.0018303170885368,0.9955674957802533,0.006262821308283484
100.0,140.1470588235294,1.1,0.03,0.01,0.7023441104587276,0.6879655408438096,0.014378569614918013
100.0,145.0,1.1,0.03,0.01,0.488108896002017,0.46271914811234827,0.025389747889668746
100.0,62.5,1.45,0.03,0.01,38.84939537711531,38.80695135188194,0.04244402523336532
100.0,67.3529411764706,1.45,0.03,0.01,34.374711656888856,34.37116704519352,0.003544611695332378
100.0,72.20588235294117,1.45,0.03,0.01,30.044953222718632,30.04942773367182,0.004474510953187405
100.0,77.05882352941177,1.45,0.03,0.01,25.92250395042244,25.926649804058158,0.004145853635719732
