symbol,origin_date,target_date,target_split,candidate,calendar_gap_days,origin_v0_slow,origin_v0_fast,forecast_v0_slow,forecast_v0_fast,state_fit_information_cutoff,origin_clean_quotes,optimizer_evaluations
ADANIENSOL,2026-07-08,2026-07-09,test,training_half_a,1,0.0667102324476741,0.07335379203416703,0.07042714725543464,0.07693366799700835,2026-07-08,22,7
ADANIENSOL,2026-07-10,2026-07-13,test,training_half_a,3,0.06194036198076034,0.06043494942238387,0.07313023226586435,0.07190054042371949,2026-07-10,16,9
ADANIENSOL,2026-07-28,2026-07-29,test,training_half_a,1,0.0005347983213032448,0.004798875058682277,0.00510833193680188,0.010216355100172075,2026-07-28,16,7
ADANIGREEN,2026-05-05,2026-05-06,test,training_half_a,1,0.08946063158985787,0.07078821106968805,0.09031409246725565,0.07888810001925028,2026-05-05,21,10
ADANIGREEN,2026-05-06,2026-05-07,test,training_half_a,1,0.05912637085925541,0.0794527398157307,0.060295131062085644,0.08745990229430778,2026-05-06,25,17
ADANIGREEN,2026-05-07,2026-05-08,test,training_half_a,1,0.06650561785214122,0.08100678885724531,0.06759767694068622,0.08899732013895278,2026-05-07,28,16
ADANIGREEN,2026-05-08,2026-05-11,test,training_half_a,3,0.07991525699298001,0.06810913856575655,0.08274368431059273,0.09223477761240373,2026-05-08,22,17
ADANIGREEN,2026-05-11,2026-05-12,test,training_half_a,1,0.05084772681716083,0.1359513218334263,0.05210253661602868,0.14335384506620896,2026-05-11,30,16
ADANIGREEN,2026-05-20,2026-05-21,test,training_half_a,1,0.011358266330760668,0.10192049260323297,0.013023536116230194,0.10968720860306702,2026-05-20,10,8
ADANIGREEN,2026-05-22,2026-05-25,test,training_half_a,3,0.025805997267712873,0.04849952178547457,0.030304209467262255,0.07324802464875813,2026-05-22,10,10
ADANIGREEN,2026-05-25,2026-05-26,test,training_half_a,1,0.051759967256677454,0.03549491861618543,0.0530052950774689,0.04397251102251776,2026-05-25,14,10
