S,tau_days,C_BS,C_SH,C_DH,C_PINN,SH_minus_DH,BS_minus_DH,PINN_minus_DH,advantage
109.13043478260869,7.0,9.130977439247939,9.130990950919516,9.132987673770577,9.132951886308394,-0.0019967228510608948,-0.0020102345226380436,-3.578746218302342e-05,0.0019609353888778713
110.0,7.0,10.000179226422791,10.000193817018738,10.00119654658529,10.00117611519738,-0.0010027295665508973,-0.0010173201624983363,-2.0431387909525256e-05,0.000982298178641372
110.86956521739131,7.0,10.86962062425973,10.869629327020675,10.870113189748176,10.870102160483642,-0.00048386272750100545,-0.0004925654884466724,-1.102926453455666e-05,0.0004728334629664488
111.73913043478261,7.0,11.739146480606626,11.739150602101642,11.739376050562692,11.739370371342112,-0.00022544846104999294,-0.00022956995606548958,-5.679220580034894e-06,0.00021976924046995805
112.6086956521739,7.0,12.608700009184712,12.608701697512178,12.608803575011757,12.608800758315763,-0.00010187749957957237,-0.0001035658270449602,-2.816695994667384e-06,9.906080358490499e-05
113.47826086956522,7.0,13.478261979927138,13.47826259974605,13.478307425593162,13.478306066577137,-4.4825847112406336e-05,-4.544566602326938e-05,-1.3590160250487315e-06,4.3466831087357605e-05
114.34782608695653,7.0,14.347826352804343,14.347826560654259,14.347845831485463,14.347845187704252,-1.9270831204565297e-05,-1.9478681119622365e-05,-6.437812114512553e-07,1.8627049993114042e-05
115.21739130434783,7.0,15.217391364210165,15.217391428648432,15.217399547393436,15.217399245869345,-8.118745004281891e-06,-8.183183270560335e-06,-3.0152409102868205e-07,7.817220913253209e-06
116.08695652173913,7.0,16.086956534430154,16.08695655305766,16.086959913472867,16.086959773378865,-3.360415206543621e-06,-3.379042713191893e-06,-1.4009400217673829e-07,3.2203212043668827e-06
116.95652173913044,7.0,16.956521741666403,16.956521746719954,16.956523116135816,16.956523051637394,-1.3694158624844022e-06,-1.3744694129513846e-06,-6.449842260281002e-08,1.3049174398815921e-06
117.82608695652173,7.0,17.826086956999895,17.826086958292656,17.826087508703324,17.826087479426533,-5.504106681541998e-07,-5.517034296076417e-07,-2.9276790769472427e-08,5.211338773847274e-07
118.69565217391303,7.0,18.695652173998184,18.695652174310393,18.695652392830777,18.695652379825773,-2.185203840099348e-07,-2.188325929353141e-07,-1.3005003296484574e-08,2.055153807134502e-07
119.56521739130434,7.0,19.565217391318676,19.565217391388952,19.56521747719029,19.565217471583964,-8.580133936675338e-08,-8.587161559603373e-08,-5.606327846408021e-09,8.019501152034536e-08
120.43478260869566,7.0,20.434782608697937,20.434782608711387,20.434782642066068,20.43478263974212,-3.3354680795127933e-08,-3.336813136911587e-08,-2.323947256854808e-09,3.1030733538273125e-08
121.30434782608695,7.0,21.30434782608729,21.304347826087938,21.304347838937307,21.304347838022945,-1.284936956835736e-08,-1.2850016162246902e-08,-9.143619195128849e-10,1.1935007648844476e-08
122.17391304347825,7.0,22.173913043478283,22.173913043476112,22.173913048385437,22.173913048053098,-4.90932450247783e-09,-4.907153794420083e-09,-3.3233860108339286e-10,4.576985901394437e-09
123.04347826086956,7.0,23.043478260869566,23.043478260866724,23.043478262728346,23.04347826262556,-1.8616219676914625e-09,-1.858779796748422e-09,-1.0278711215505609e-10,1.7588348555364064e-09
123.91304347826087,7.0,23.913043478260864,23.91304347825781,23.913043478958897,23.913043478941823,-7.010889646608121e-10,-6.980336308970436e-10,-1.7074341940315207e-11,6.840146227204968e-10
124.78260869565217,7.0,24.782608695652165,24.782608695648978,24.782608695911353,24.782608695923926,-2.623750106067746e-10,-2.5918822643689055e-10,1.2573053709274973e-11,2.498019568974996e-10
125.65217391304347,7.0,25.652173913043466,25.652173913040187,25.65217391313781,25.65217391315915,-9.762146646608016e-11,-9.43423117405473e-11,2.134115106855461e-11,7.628031539752556e-11
126.52173913043478,7.0,26.521739130434785,26.521739130431403,26.521739130467516,26.521739130490307,-3.611333454500709e-11,-3.2731151122789015e-11,2.2790658249505213e-11,1.3322676295501878e-11
127.3913043478261,7.0,27.391304347826086,27.391304347822608,27.391304347835874,27.391304347857766,-1.326583287664107e-11,-9.78772618509538e-12,2.1891821688768687e-11,-8.625988812127616e-12
128.26086956521738,7.0,28.260869565217384,28.260869565213824,28.260869565218638,28.260869565239094,-4.813927034774679e-12,-1.2541079286165768e-12,2.0456525362533284e-11,-1.5642598327758606e-11
129.1304347826087,7.0,29.130434782608692,29.130434782605036,29.13043478260677,29.13043478262575,-1.7337242752546445e-12,1.922018100231071e-12,1.8978596472152276e-11,-1.724487219689763e-11
