t_days,tau_days,S,C_BS,C_SH,C_DH,C_PINN
156.42585170340683,573.5741482965932,105.0,13.775686032345696,13.872767548159237,13.840939880651735,
157.64661654135338,572.3533834586466,105.0,,,,13.828768600400673
157.8877755511022,572.1122244488978,105.0,13.759883607813165,13.857446521753152,13.825366149926667,
159.3496993987976,570.6503006012024,105.0,13.744058421269083,13.842106727706785,13.809775898594086,
159.45864661654136,570.5413533834586,105.0,,,,13.809438197751827
160.81162324649299,569.188376753507,105.0,13.72821037658777,13.826748106153822,13.794169078896404,
161.2706766917293,568.7293233082708,105.0,,,,13.790082254763067
162.2735470941884,567.7264529058116,105.0,13.712339376962333,13.811370596919312,13.778545642816168,
163.08270676691728,566.9172932330828,105.0,,,,13.770700680892045
163.73547094188376,566.2645290581163,105.0,13.696445324897837,13.795974139517293,13.762905542073808,
164.89473684210526,565.1052631578948,105.0,,,,13.751293384996819
165.19739478957916,564.8026052104208,105.0,13.680528122204452,13.780558673148503,13.747248728125424,
166.65931863727457,563.3406813627255,105.0,13.664587669990498,13.765124136697825,13.731575152160575,
166.70676691729324,563.2932330827068,105.0,,,,13.731860275329407
168.12124248496994,561.8787575150301,105.0,13.648623868655415,13.749670468731928,13.715884765099844,
168.51879699248119,561.4812030075188,105.0,,,,13.712401259529305
169.58316633266534,560.4168336673347,105.0,13.632636617882596,13.734197607496853,13.700177517592648,
170.33082706766916,559.6691729323309,105.0,,,,13.692916244616914
171.04509018036072,558.9549098196393,105.0,13.616625816632181,13.718705490915362,13.684453360014775,
172.14285714285714,557.8571428571429,105.0,,,,13.673405136986815
172.50701402805612,557.4929859719439,105.0,13.600591363133756,13.703194056584588,13.668712242466158,
173.95488721804512,556.0451127819549,105.0,,,,13.653867842401024
173.96893787575152,556.0310621242485,105.0,13.584533154878919,13.68766324177339,13.652954114768333,
175.4308617234469,554.5691382765531,105.0,13.568451088613717,13.672112983419781,13.637178926462036,
175.7669172932331,554.2330827067669,105.0,,,,13.63430426598208
176.8927855711423,553.1072144288577,105.0,13.552345060331154,13.656543218128409,13.621386626804822,
177.57894736842104,552.421052631579,105.0,,,,13.6147143122061
178.35470941883767,551.6452905811623,105.0,13.536214965263357,13.640953882167747,13.605577164768539,
179.39097744360902,550.609022556391,105.0,,,,13.595097884895617
179.81663326653307,550.183366733467,105.0,13.52006069787383,13.62534491146768,13.589750489036707,
