case,model,bucket,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
SMIRK_WEIGHTS_random_01,BS_TERM,very_long,0.0005563163761431975,0.0004926333091860452,0.0009319116938738269,0.0009869588999763534,0.0005563163761431975,0.1872458656062901,152,152
SMIRK_WEIGHTS_random_01,BS_TERM,ATM,5.5923340345862366e-05,4.6643213574606257e-05,0.00010543891790072422,0.00010923887874919602,5.5923340345862366e-05,0.03881861789352494,49,49
SMIRK_WEIGHTS_random_01,BS_TERM,wing,0.0004908578351124329,0.00034087809919980784,0.0009673262145754924,0.0010789805451145718,0.0004908578351124329,1.2231349992787637,595,659
SMIRK_WEIGHTS_random_01,BS_TERM,K/F_0.70_0.90,0.0005653419186371201,0.0003958630058881821,0.0010379953476456593,0.0010789805451145718,0.0005653419186371201,1.7062318753402337,290,329
SMIRK_WEIGHTS_random_01,BS_TERM,K/F_0.90_0.98,0.00039875215088525963,0.00032410624896663426,0.0007394482010823322,0.0008698228123790175,0.00039875215088525963,0.3968283353957781,132,132
SMIRK_WEIGHTS_random_01,BS_TERM,K/F_0.98_1.02,8.086387662293494e-05,6.405341154085016e-05,0.0001756285913651623,0.0002046144644886061,8.086387662293494e-05,0.054403441923551524,66,66
SMIRK_WEIGHTS_random_01,BS_TERM,K/F_1.02_1.10,0.0002856895354980205,0.00023511961643942443,0.0005326552293515613,0.0006068625324587851,0.0002856895354980205,0.18983061670537305,132,132
SMIRK_WEIGHTS_random_01,BS_TERM,K/F_1.10_1.30,0.00040259392042651975,0.00028720799501806386,0.000716908649387779,0.000751629937029985,0.00040259392042651975,0.382723107341405,322,347
SMIRK_WEIGHTS_random_01,BS_SELECTED,short,5.5336853943824595e-05,2.6922729142336994e-05,0.00014477730493823727,0.0002578043499746885,5.5336853943824595e-05,1.1838239653008844,271,335
SMIRK_WEIGHTS_random_01,BS_SELECTED,medium,0.00027141424738380966,0.00020315046209168691,0.0005575867679367795,0.0006981192219289722,0.00027141424738380966,1.3175872352701585,213,213
SMIRK_WEIGHTS_random_01,BS_SELECTED,long,0.0006513672204416929,0.0005907680291479897,0.0010397649819276489,0.0010789805451145718,0.0006513672204416929,0.7282016122775767,306,306
SMIRK_WEIGHTS_random_01,BS_SELECTED,very_long,0.0005563163761431975,0.0004926333091860452,0.0009319116938738269,0.0009869588999763534,0.0005563163761431975,0.1872458656062901,152,152
SMIRK_WEIGHTS_random_01,BS_SELECTED,ATM,5.5923340345862366e-05,4.6643213574606257e-05,0.00010543891790072422,0.00010923887874919602,5.5923340345862366e-05,0.03881861789352494,49,49
SMIRK_WEIGHTS_random_01,BS_SELECTED,wing,0.0004908578351124329,0.00034087809919980784,0.0009673262145754924,0.0010789805451145718,0.0004908578351124329,1.2231349992787637,595,659
SMIRK_WEIGHTS_random_01,BS_SELECTED,K/F_0.70_0.90,0.0005653419186371201,0.0003958630058881821,0.0010379953476456593,0.0010789805451145718,0.0005653419186371201,1.7062318753402337,290,329
SMIRK_WEIGHTS_random_01,BS_SELECTED,K/F_0.90_0.98,0.00039875215088525963,0.00032410624896663426,0.0007394482010823322,0.0008698228123790175,0.00039875215088525963,0.3968283353957781,132,132
SMIRK_WEIGHTS_random_01,BS_SELECTED,K/F_0.98_1.02,8.086387662293494e-05,6.405341154085016e-05,0.0001756285913651623,0.0002046144644886061,8.086387662293494e-05,0.054403441923551524,66,66
SMIRK_WEIGHTS_random_01,BS_SELECTED,K/F_1.02_1.10,0.0002856895354980205,0.00023511961643942443,0.0005326552293515613,0.0006068625324587851,0.0002856895354980205,0.18983061670537305,132,132
SMIRK_WEIGHTS_random_01,BS_SELECTED,K/F_1.10_1.30,0.00040259392042651975,0.00028720799501806386,0.000716908649387779,0.000751629937029985,0.00040259392042651975,0.382723107341405,322,347
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,short,0.0,0.0,0.0,0.0,0.0,0.0,310,335
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,medium,0.0,0.0,0.0,0.0,0.0,0.0,213,213
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,long,0.0,0.0,0.0,0.0,0.0,0.0,306,306
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,very_long,0.0,0.0,0.0,0.0,0.0,0.0,152,152
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,ATM,0.0,0.0,0.0,0.0,0.0,0.0,49,49
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,wing,0.0,0.0,0.0,0.0,0.0,0.0,634,659
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,K/F_0.70_0.90,0.0,0.0,0.0,0.0,0.0,0.0,315,329
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,K/F_0.90_0.98,0.0,0.0,0.0,0.0,0.0,0.0,132,132
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,K/F_0.98_1.02,0.0,0.0,0.0,0.0,0.0,0.0,66,66
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,K/F_1.02_1.10,0.0,0.0,0.0,0.0,0.0,0.0,132,132
SMIRK_WEIGHTS_random_02,DH_EXACT_TEACHER,K/F_1.10_1.30,0.0,0.0,0.0,0.0,0.0,0.0,336,347
SMIRK_WEIGHTS_random_02,DH_PINN,short,5.569861317375663e-06,2.976664967676339e-06,1.4168498888939358e-05,2.1353911098018208e-05,5.569861317375663e-06,0.12785818860493633,310,335
SMIRK_WEIGHTS_random_02,DH_PINN,medium,4.608146755867169e-06,3.7293234635197505e-06,8.507786563649588e-06,1.482468424859884e-05,4.608146755867169e-06,0.04209250533627065,213,213
SMIRK_WEIGHTS_random_02,DH_PINN,long,1.0655242356994908e-05,8.95158540715146e-06,1.9266452644168663e-05,2.344507944707086e-05,1.0655242356994908e-05,0.009523208232791402,306,306
SMIRK_WEIGHTS_random_02,DH_PINN,very_long,1.1462573627908182e-05,8.71040005099776e-06,2.3561479907883968e-05,3.320509745102784e-05,1.1462573627908182e-05,0.0024261263972394005,152,152
SMIRK_WEIGHTS_random_02,DH_PINN,ATM,8.93844548216946e-06,6.985850347342065e-06,1.5749845397824974e-05,2.8836664684117608e-05,8.93844548216946e-06,0.004121374319100944,49,49
SMIRK_WEIGHTS_random_02,DH_PINN,wing,7.635264835583934e-06,5.02981516163219e-06,1.80620163939195e-05,2.6384546296387423e-05,7.635264835583934e-06,0.0922426450618647,634,659
SMIRK_WEIGHTS_random_02,DH_PINN,K/F_0.70_0.90,5.7245010440715344e-06,4.040478964283116e-06,1.069804410506192e-05,2.6384546296387423e-05,5.7245010440715344e-06,0.08471597108909343,315,329
