split,index,check,x,K/F,tau_days,v_slow,v_fast,teacher,reference,abs_diff,reference_error,seconds
train,31088,accepted_vs_adaptive_1e-10,-0.306280700615466,1.3583635465217767,105.94581543752373,0.0002960926933875679,0.0029896245754285566,5.339714752224632e-05,5.3397147561763756e-05,3.951743446362066e-14,,0.03283579200069653
train,26926,accepted_vs_adaptive_1e-10,-0.21682007661739489,1.2421205954921868,182.86025124656263,0.00555082783058995,0.0013231325924546505,0.006897578063740917,0.006897578063770282,2.936539900133539e-14,,0.036217916996974964
train,26176,accepted_vs_adaptive_1e-10,-0.10999771033643957,1.116275514560576,128.2246260204008,0.009802629366008645,0.02508935453770307,0.025767508259101013,0.02576750825912122,2.020605904817785e-14,,0.015282874999684282
train,10387,accepted_vs_adaptive_1e-10,-0.12557533799126325,1.133800584001479,155.41665408780557,0.0005645149996992005,0.017805771778516253,0.0212743913486238,0.021274391348644645,2.0844437287337314e-14,,0.021838749999005813
train,55803,accepted_vs_adaptive_1e-10,-0.30173331691548666,1.3522005696022625,120.1015031166485,0.000612080812952031,0.03208758672862759,0.0002542316834573512,0.0002542316834959549,3.8603668872649877e-14,,0.033307541998510715
train,16280,accepted_vs_adaptive_1e-10,-0.13296846692129766,1.1422139802396827,142.11558157300925,0.0003722720178964617,0.08602190752507174,0.0223420293343477,0.02234202933436985,2.2148949341271873e-14,,0.01593716700153891
train,30729,accepted_vs_adaptive_1e-10,-0.10682718102573724,1.1127419349417558,277.05477568759557,0.028369299662773757,0.002021972526806602,0.06019268672308897,0.060192686723114786,2.581268532253489e-14,,0.041191917000105605
train,93655,accepted_vs_adaptive_1e-10,-0.10001364756005415,1.105186001065045,240.52257728122146,0.014920412091813006,0.07916501208456138,0.056350503282077025,0.056350503282101894,2.4868995751603507e-14,,0.03051591699477285
train,97764,accepted_vs_adaptive_1e-10,-0.3395739637670099,1.4043491594702775,160.0135365115053,0.01371274692800087,0.15050355530294235,0.002574819362175171,0.0025748193622172066,4.203581926986999e-14,,0.037874875000852626
train,31027,accepted_vs_adaptive_1e-10,-0.21289457410785503,1.2372542057391045,102.01327553018893,0.014629086844690614,0.04176240200908656,0.004826725411015434,0.004826725411044036,2.8602120671905595e-14,,0.03203462500096066
train,93947,accepted_vs_adaptive_1e-10,-0.21946296519367453,1.2454077236677827,175.18371530053983,0.0005646056783967338,0.001611730304344198,0.013704671827961035,0.013704671827991177,3.0142555118573e-14,,0.012470541005313862
train,73782,accepted_vs_adaptive_1e-10,-0.10956270125809053,1.1157900301805157,119.88851205915049,0.007864365427342448,0.0013161474761372634,0.014411018016296073,0.014411018016314253,1.8179902028236938e-14,,0.016589459002716467
train,56683,accepted_vs_adaptive_1e-10,-0.35518772929292797,1.426448415299803,202.0282333916766,0.00021001728257488654,0.021179359022634542,2.543594540389501e-05,2.5435945448753767e-05,4.48587564663705e-14,,0.05571962499379879
train,1616,accepted_vs_adaptive_1e-10,-0.2609754791867699,1.2981958322258653,115.8395076485584,0.00959197279905706,0.19452210021313288,0.0037754292613752308,0.0037754292614085444,3.3313629632658603e-14,,0.026707083998189773
train,70501,accepted_vs_adaptive_1e-10,-0.17006934050609043,1.185387043808229,210.39798949225596,0.0003515419695544702,0.0022830494094252763,0.033878038428674595,0.03387803842870213,2.7533531010703882e-14,,0.017160625000542495
train,35478,accepted_vs_adaptive_1e-10,-0.20963807982775645,1.2332316477684515,280.9877687884193,0.00020379558300266765,0.032999801741084224,0.01001659110947653,0.010016591109504869,2.833844270355712e-14,,0.045961042000271846
train,72446,accepted_vs_adaptive_1e-10,-0.27425252120389904,1.3155469638011255,272.3236739610234,0.1510109427542771,0.005075957641400398,0.045365204586298946,0.04536520458633736,3.8413716652030416e-14,,0.021935500000836328
train,15368,accepted_vs_adaptive_1e-10,-0.146595743004158,1.157885784975142,103.77508430398288,0.14781622009739404,0.010341722223919547,0.0437442974350552,0.04374429743508235,2.7144952952085077e-14,,0.02333491599711124
train,16634,accepted_vs_adaptive_1e-10,-0.1879428832594993,1.2067645869213839,293.9039213314409,0.0009388297288544921,0.0027518962273335276,0.05081024647664212,0.05081024647667365,3.1530333899354446e-14,,0.02690858400455909
train,36242,accepted_vs_adaptive_1e-10,-0.22342938002153873,1.2503573369503076,104.19122256167289,0.00015745107860461868,0.03423764831566471,0.0011364371812548034,0.0011364371812843908,2.958744360626042e-14,,0.029396583995549008
train,60698,accepted_vs_adaptive_1e-10,-0.3220230799874143,1.379916624048034,247.33383325016968,0.0013633408631683619,0.002769218194559858,0.011715170384655513,0.01171517038469505,3.953781746446339e-14,,0.023996208001335617
train,40052,accepted_vs_adaptive_1e-10,-0.18609877210023038,1.204541229569173,147.69612319037202,0.00906569308809701,0.0014892796885169865,0.00530515536385627,0.005305155363881778,2.550737399076297e-14,,0.04184437499498017
train,62434,accepted_vs_adaptive_1e-10,-0.23356367927333307,1.2630932581908476,98.12654790852686,0.0003556240302673305,0.0791903590795573,0.00048229695476634943,0.0004822969547969985,3.064909437355823e-14,,0.033999541999946814
train,81475,accepted_vs_adaptive_1e-10,-0.14926697604324088,1.160982902459107,226.28611951683718,0.004337454189896679,0.0017636147700584262,0.04139521274270991,0.041395212742736665,2.6756374893466273e-14,,0.0131577920037671
train,28312,accepted_vs_adaptive_1e-10,0.33409949311760423,0.7159825433479903,509.7538835109353,0.00018965076513555341,0.04425892353659752,0.32835128100598965,0.3283512810060226,3.297362383136715e-14,,0.028107874997658655
train,83009,accepted_vs_adaptive_1e-10,0.3393199695287584,0.7122545128839728,687.8040586349105,0.008132218761029044,0.05005344094455038,0.30205392545730725,0.3020539254573369,2.964295475749168e-14,,0.026189791999058798
train,2864,accepted_vs_adaptive_1e-10,0.18555836238980883,0.8306403560099961,469.3544889124433,0.04083703935055539,0.009358627714684042,0.25978476329987105,0.25978476329990313,3.2085445411667024e-14,,0.02742891699745087
train,98620,accepted_vs_adaptive_1e-10,0.2154255788318694,0.8061982662423227,583.9096466808111,0.00016104982418448782,0.020783414723826624,0.21500604205690044,0.2150060420569252,2.475797344914099e-14,,0.03547912500653183
train,76709,accepted_vs_adaptive_1e-10,0.1794333418712627,0.8357436581948259,540.2547812345392,0.0013429169736694042,0.002685587520710763,0.21961172115535577,0.21961172115538374,2.7977620220553945e-14,,0.04330041700450238
train,92307,accepted_vs_adaptive_1e-10,0.3290295182386127,0.71962177446631,533.4536954507704,0.00039097678636208994,0.06521105310623414,0.3028254390290398,0.3028254390290702,3.042011087472929e-14,,0.025697375000163447
train,61169,accepted_vs_adaptive_1e-10,0.2610356278498115,0.7702534766510323,492.9680859543503,0.002909083692838769,0.11513704926323208,0.28523822385039244,0.28523822385042397,3.1530333899354446e-14,,0.02485470799729228
train,46416,accepted_vs_adaptive_1e-10,0.17991908717398186,0.835337798218849,409.7995589590734,0.002903735390581811,0.18512637827696934,0.19805041127468792,0.19805041127471323,2.531308496145357e-14,,0.038431833003414795
train,42467,accepted_vs_adaptive_1e-10,0.1117961186935103,0.8942265549945302,433.30460091849926,0.00016213559921621432,0.04198937828315982,0.15481787092558086,0.15481787092560417,2.3314683517128287e-14,,0.039336542002274655
train,61945,accepted_vs_adaptive_1e-10,0.3201521259380583,0.7260385793722097,698.2322355927602,0.015522743582053513,0.0012529298706355054,0.31704030384181536,0.3170403038418479,3.2529534621517087e-14,,0.033015125001838896
train,41374,accepted_vs_adaptive_1e-10,0.21876253998066164,0.8035124975947027,369.0630564870468,0.015131279233093424,0.001352725810202986,0.214040611988626,0.21404061198865143,2.5424107263916085e-14,,0.031443250001757406
train,84818,accepted_vs_adaptive_1e-10,0.28717814527079555,0.7503780406302135,686.7600717112439,0.0002770102747602598,0.0019723216933886885,0.3280256088226527,0.3280256088226869,3.419486915845482e-14,,0.039872916000604164
train,90690,accepted_vs_adaptive_1e-10,0.2834270689364151,0.753198051672004,714.2204103923189,0.0008095755876143474,0.001254225002266341,0.27599709303533426,0.2759970930353637,2.942091015256665e-14,,0.03498912500072038
train,87475,accepted_vs_adaptive_1e-10,0.15162074991990382,0.8593141138976161,394.27530826278,0.00017437380394210936,0.01227516094598044,0.1858629111563359,0.18586291115636122,2.531308496145357e-14,,0.027356499995221384
train,95449,accepted_vs_adaptive_1e-10,0.33863247955090203,0.7127443490827091,650.4604700736836,0.1423260632529132,0.0011441339350496532,0.3514867783421821,0.3514867783422157,3.3584246494910985e-14,,0.022683542003505863
train,14794,accepted_vs_adaptive_1e-10,0.3332504591840657,0.7165906949572578,627.646867036959,0.002399051689503401,0.17864371991490868,0.3324590622385841,0.33245906223861665,3.2529534621517087e-14,,0.042683667001256254
train,57672,accepted_vs_adaptive_1e-10,0.18752467295047437,0.8290086638383611,530.7778232273055,0.008645072555761225,0.07900413775518614,0.24905217886201614,0.24905217886204667,3.0531133177191805e-14,,0.03010516700305743
train,81261,accepted_vs_adaptive_1e-10,0.29806344267578866,0.7422542476583791,676.4049850473567,0.009436714870588107,0.0046363552630587215,0.29804864285146737,0.29804864285149857,3.11972669919669e-14,,0.022911791995284148
train,80195,accepted_vs_adaptive_1e-10,0.21815705207316005,0.8039991620153653,727.6431545817687,0.01957140348253002,0.004906246433348252,0.23872421175525882,0.23872421175528646,2.7644553313166398e-14,,0.03147675000218442
train,29128,accepted_vs_adaptive_1e-10,0.19216661166033278,0.8251693741984333,593.4398311470968,0.02514050314608079,0.14435414462211835,0.2415161477177934,0.24151614771782315,2.9753977059954195e-14,,0.0177039580012206
train,47435,accepted_vs_adaptive_1e-10,0.3533898730350973,0.702303330863743,428.3898755095323,0.0003639887060080214,0.06723196231501091,0.3045007771079892,0.3045007771080199,3.0753177782116836e-14,,0.024916207999922335
train,37167,accepted_vs_adaptive_1e-10,0.2651706070191929,0.7670750704204261,552.2733255782064,0.17569502088144068,0.00714984320970141,0.30012397370144195,0.30012397370147426,3.2307490016592055e-14,,0.030983959004515782
train,89380,accepted_vs_adaptive_1e-10,0.2517979652248993,0.7774017843986759,403.4011993991848,0.0001815420183179456,0.0220303509715739,0.24836737477198223,0.24836737477201054,2.8310687127941492e-14,,0.033946916002605576
train,87402,accepted_vs_adaptive_1e-10,0.2223114074597876,0.8006659921457421,665.9569202529484,0.00851723291359762,0.15826708443038734,0.29293151177380344,0.29293151177383703,3.3584246494910985e-14,,0.028947957995114848
train,26820,accepted_vs_adaptive_1e-10,0.216058661127135,0.8056880379187913,367.9097785125237,0.03530245159352372,0.047640654487398425,0.22370731361600904,0.22370731361603546,2.6423307986078726e-14,,0.025076707999687642
train,56265,accepted_vs_adaptive_1e-10,0.1440480244785296,0.8658461652501437,721.7826254373258,0.019185153403202572,0.016420109027953166,0.264999045651905,0.26499904565193944,3.441691376337985e-14,,0.011075415997765958
train,47834,accepted_vs_adaptive_1e-10,0.16822224006409892,0.8451659840689918,445.2944754262402,0.04941207715108057,0.012293682263136542,0.21834323129169797,0.21834323129172628,2.8310687127941492e-14,,0.015453166997758672
train,93292,accepted_vs_adaptive_1e-10,0.2192133697278772,0.8031503319021954,492.27374329741997,0.0012418847638655992,0.001954901874224141,0.2667612881274303,0.26676128812746125,3.097522238704187e-14,,0.042052415999933146
train,49459,accepted_vs_adaptive_1e-10,0.2557614617607258,0.7743266532807129,395.89371911552024,0.005525475018813501,0.008944275225891328,0.25639425648214687,0.2563942564821752,2.8310687127941492e-14,,0.029437749995850027
train,3607,accepted_vs_adaptive_1e-10,0.21395961288869447,0.8073809921502192,435.03892632282054,0.00019814363076030203,0.05618442481293721,0.25306833873453183,0.2530683387345618,2.9976021664879227e-14,,0.02144741599477129
train,27671,accepted_vs_adaptive_1e-10,0.1800302742778166,0.8352449245916118,652.6225441089176,0.09390599783380194,0.01579060976017165,0.2844239602664833,0.2844239602665173,3.397282455352979e-14,,0.01014983299683081
train,45830,accepted_vs_adaptive_1e-10,0.17154370453382417,0.8423634521135339,411.2084893442065,0.13851360168429816,0.1778953851657318,0.26375584387689704,0.2637558438769301,3.302913498259841e-14,,0.024916582995501813
train,54737,accepted_vs_adaptive_1e-10,0.23216031561295114,0.7928190118521362,687.1972205710199,0.0002564259831653101,0.004359082121607331,0.3003421308076709,0.3003421308077047,3.3806291099836017e-14,,0.017852541997854132
train,5937,accepted_vs_adaptive_1e-10,0.25732126658512455,0.7731197963066198,474.49869190979564,0.0010818992075346003,0.007235303849799712,0.2774227964054835,0.27742279640551426,3.0753177782116836e-14,,0.021618999999191146
train,73994,accepted_vs_adaptive_1e-10,0.12092750609051217,0.8860981939868185,666.7402277297059,0.04025044916294923,0.009006635761050272,0.22235943140195652,0.22235943140198788,3.136380044566067e-14,,0.03201829199679196
train,19709,accepted_vs_adaptive_1e-10,0.18918819389145514,0.827630736988658,423.13427527090107,0.04866426245788054,0.03530951411325832,0.22174579990268561,0.22174579990271315,2.7533531010703882e-14,,0.028551957999297883
train,79770,accepted_vs_adaptive_1e-10,0.213968442462378,0.8073738633517304,650.5338428176551,0.014348597378520067,0.02432606892439773,0.26893180617748036,0.26893180617751233,3.197442310920451e-14,,0.02145766600006027
