symbol,origin_date,target_date,target_split,calendar_gap_days,candidate,kappa,theta,sigma,rho,origin_v0,forecast_v0,origin_clean_quotes,optimizer_evaluations,state_information_cutoff
ADANIENSOL,2026-06-04,2026-06-05,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.18376190486715668,0.1896771516247657,14,5,2026-06-04
ADANIENSOL,2026-06-04,2026-06-05,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.1925455177169593,0.19740028462812167,14,5,2026-06-04
ADANIENSOL,2026-06-16,2026-06-17,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.19953650225093758,0.20361939786070193,11,4,2026-06-16
ADANIENSOL,2026-06-16,2026-06-17,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.19106413267169745,0.1967820990496812,11,6,2026-06-16
ADANIENSOL,2026-06-16,2026-06-17,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.1928409581408209,0.19768982127385265,11,5,2026-06-16
ADANIENSOL,2026-06-17,2026-06-18,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.18116478091022567,0.18574401452098008,12,4,2026-06-17
ADANIENSOL,2026-06-17,2026-06-18,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.17340979570415613,0.17960471985341392,12,5,2026-06-17
ADANIENSOL,2026-06-17,2026-06-18,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.1756639281941987,0.18085603945970524,12,5,2026-06-17
ADANIENSOL,2026-06-29,2026-06-30,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.20004321945184603,0.20411242538071975,9,6,2026-06-29
ADANIENSOL,2026-06-29,2026-06-30,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.17936141218924817,0.1853955447018998,9,5,2026-06-29
ADANIENSOL,2026-06-29,2026-06-30,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.18640270253957042,0.19138022116300954,9,5,2026-06-29
ADANIENSOL,2026-07-06,2026-07-07,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.14258582005670084,0.14820731878541565,17,6,2026-07-06
ADANIENSOL,2026-07-06,2026-07-07,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.12606183835522625,0.13353593692225146,17,6,2026-07-06
ADANIENSOL,2026-07-06,2026-07-07,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.13743929350487855,0.14339524662851855,17,6,2026-07-06
ADANIENSOL,2026-07-08,2026-07-09,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.1591651352785504,0.1643387203892439,22,5,2026-07-08
ADANIENSOL,2026-07-08,2026-07-09,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.14387767905614027,0.15087045659198178,22,8,2026-07-08
ADANIENSOL,2026-07-08,2026-07-09,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.15379691498220008,0.15942599419100917,22,7,2026-07-08
ADANIENSOL,2026-07-10,2026-07-13,test,3,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.13731362167813788,0.1541424700356885,16,5,2026-07-10
ADANIENSOL,2026-07-10,2026-07-13,test,3,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.12381270955923292,0.14581209939649242,16,8,2026-07-10
ADANIENSOL,2026-07-10,2026-07-13,test,3,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.1341818234856069,0.15188641371689277,16,6,2026-07-10
ADANIENSOL,2026-07-28,2026-07-29,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.007578711192987797,0.016847617657218927,16,9,2026-07-28
ADANIENSOL,2026-07-28,2026-07-29,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.005333673385761508,0.016069420158534242,16,6,2026-07-28
ADANIENSOL,2026-07-28,2026-07-29,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.011079720455092276,0.019560713565530685,16,6,2026-07-28
ADANIGREEN,2026-02-03,2026-02-04,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.14632271619545945,0.15477179085078585,32,6,2026-02-03
ADANIGREEN,2026-02-03,2026-02-04,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.1304952975615209,0.13992456315703217,32,6,2026-02-03
ADANIGREEN,2026-02-03,2026-02-04,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.1506244132889922,0.1587302293162705,32,6,2026-02-03
ADANIGREEN,2026-02-04,2026-02-05,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.1316807311774371,0.14048259799997032,27,6,2026-02-04
ADANIGREEN,2026-02-04,2026-02-05,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.11862841077628931,0.12818641516261253,27,6,2026-02-04
ADANIGREEN,2026-02-04,2026-02-05,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.1353417223763229,0.14386042268339388,27,6,2026-02-04
ADANIGREEN,2026-02-09,2026-02-10,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.0843418040852305,0.09428428146442996,25,6,2026-02-09
ADANIGREEN,2026-02-09,2026-02-10,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.0797322673992334,0.08971223944701978,25,6,2026-02-09
ADANIGREEN,2026-02-09,2026-02-10,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.0861278693362311,0.09597615396745007,25,6,2026-02-09
ADANIGREEN,2026-02-10,2026-02-11,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.09816420538944674,0.10777363810932478,26,7,2026-02-10
ADANIGREEN,2026-02-10,2026-02-11,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.09288967412188857,0.10272690707876153,26,7,2026-02-10
ADANIGREEN,2026-02-10,2026-02-11,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.10009249733912057,0.10956350709064105,26,9,2026-02-10
ADANIGREEN,2026-02-12,2026-02-13,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.09763782625643823,0.10725994184922438,25,6,2026-02-12
ADANIGREEN,2026-02-12,2026-02-13,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.09362131452421905,0.10345061022657787,25,6,2026-02-12
ADANIGREEN,2026-02-12,2026-02-13,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.09907435002623485,0.10857286651870857,25,6,2026-02-12
ADANIGREEN,2026-02-16,2026-02-17,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.17882273537914758,0.186488736415155,24,6,2026-02-16
ADANIGREEN,2026-02-16,2026-02-17,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.17262341860108826,0.18159565418864798,24,6,2026-02-16
ADANIGREEN,2026-02-16,2026-02-17,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.18038504298752525,0.18768683201265635,24,5,2026-02-16
ADANIGREEN,2026-02-19,2026-02-20,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.005333675227851927,0.017179818603993813,10,6,2026-02-19
ADANIGREEN,2026-02-19,2026-02-20,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.005333673856963039,0.016120764498200768,10,6,2026-02-19
ADANIGREEN,2026-02-19,2026-02-20,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.0053336765150190845,0.01736473460577098,10,6,2026-02-19
ADANIGREEN,2026-02-23,2026-02-24,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.015018040137558794,0.02663084301510632,13,7,2026-02-23
ADANIGREEN,2026-02-23,2026-02-24,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.007126826085776569,0.017894463583670417,13,9,2026-02-23
ADANIGREEN,2026-02-23,2026-02-24,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.01724658525582486,0.028955798667927468,13,7,2026-02-23
ADANIGREEN,2026-02-24,2026-02-25,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.02981931038929771,0.04107548319222776,15,6,2026-02-24
ADANIGREEN,2026-02-24,2026-02-25,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.019984162482215847,0.03061231622411731,15,7,2026-02-24
ADANIGREEN,2026-02-24,2026-02-25,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.0329753867441156,0.04425966354580024,15,5,2026-02-24
ADANIGREEN,2026-02-25,2026-02-26,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.01953422227577694,0.031038209737786093,14,7,2026-02-25
ADANIGREEN,2026-02-25,2026-02-26,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.012619400305424624,0.023327451209439243,14,7,2026-02-25
ADANIGREEN,2026-02-25,2026-02-26,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.021645844432915888,0.03323620541468841,14,6,2026-02-25
ADANIGREEN,2026-02-26,2026-02-27,validation,1,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.005333685391821715,0.017179828523067264,13,8,2026-02-26
ADANIGREEN,2026-02-26,2026-02-27,validation,1,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.005333729549087925,0.01612081958614564,13,7,2026-02-26
ADANIGREEN,2026-02-26,2026-02-27,validation,1,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,0.005333673692749187,0.01736473185974885,13,9,2026-02-26
ADANIGREEN,2026-02-27,2026-03-02,validation,3,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,0.007441429837516295,0.04198173964970198,13,8,2026-02-27
ADANIGREEN,2026-02-27,2026-03-02,validation,3,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.005333682064233356,0.037345149643382314,13,9,2026-02-27
