case_id,arm,start_index,start_strategy,optimizer_success,nfev,price_rmse_normalized,parameter_rmse_full_range,constraint_valid,bound_hit,runtime_seconds
case_3,sobol,7,sobol_7,False,120,9.004545008936453e-06,0.3345473936225791,True,True,2.407247124996502
case_3,sobol,8,sobol_8,False,120,2.740083785951779e-07,0.10459075335502067,True,False,2.06099241701304
case_3,sobol,9,sobol_9,False,120,5.272693059754541e-06,0.2627211793814506,True,True,2.566171124984976
case_3,sobol,10,sobol_10,True,49,7.347633293201152e-06,0.32330925202263144,True,True,0.957074540987378
case_3,sobol,11,sobol_11,True,95,5.449311382646565e-10,0.0001570400938079328,True,False,1.8965302080032416
case_3,relweight,0,midpoint,True,18,7.011088032288787e-13,2.2380580301028404e-08,True,False,0.29116104199783877
case_3,relweight,1,broad_1,True,38,0.00013840753909300486,0.281851523999403,True,True,0.6045372090011369
case_3,relweight,2,broad_2,True,106,1.8361331055209504e-05,0.3373725386109917,True,True,2.0092052500112914
case_3,relweight,3,broad_3,True,112,4.468752193155944e-05,0.3231491859977786,True,True,2.01474149999558
case_3,relweight,4,broad_4,True,39,4.3824816861935074e-05,0.3230009793340468,True,True,0.6979461669980083
case_3,relweight,5,broad_5,True,73,3.570874692067525e-05,0.3571172375548322,True,True,1.2315077499952167
case_3,relweight,6,broad_6,False,120,7.89877525783857e-07,0.06970712452376338,True,False,2.30780587499612
case_3,relweight,7,broad_7,True,46,6.015611422892603e-05,0.3130987732219538,True,True,0.7379887079878245
case_3,relweight,8,broad_8,True,97,9.445914664881751e-06,0.2676740556602734,True,True,1.7451309169991873
case_3,relweight,9,broad_9,True,101,4.614890890974263e-05,0.32061466566627966,True,True,1.7704470000171568
case_3,relweight,10,broad_10,True,56,1.7131616579921095e-05,0.29293871699595403,True,True,0.8438599579967558
case_3,relweight,11,broad_11,True,80,4.524132461362528e-05,0.3229148793221673,True,True,1.3864100420032628
case_3,polish,0,polish_0,True,1,4.855902102647531e-13,8.090346615175784e-10,True,False,0.026660417002858594
case_3,polish,1,polish_1,True,1,1.2862097953708255e-10,1.2150427717882098e-08,True,False,0.025724499981151894
case_3,polish,2,polish_2,True,1,4.761668093138971e-10,0.00013709622836099544,True,False,0.025188125000568107
case_3,polish,3,polish_3,True,14,6.073708315990198e-16,8.920852420025457e-12,True,False,0.2919764170073904
case_3,polish,4,polish_4,True,196,5.252227218726047e-10,0.00015169907704189366,True,False,4.537705333990743
