source,group,case,direct_passes,canonical_passes,permutation_passes,permutation_swapped,permutation_tolerance_rmse
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,21,0,0,0,False,9.416196062751665
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,22,0,0,0,False,10.926530772067345
outputs/deeper_pinn/recovery_noise_910831/fits.json,17-layer Double Heston|rich|directory,23,0,0,0,False,24.430048193370116
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,0,0,0,0,False,10.878105839975499
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,1,2,2,2,False,15.64928331158907
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,2,1,1,1,False,3.674035036383355
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,3,5,5,5,False,5.595313146688835
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,4,0,0,0,False,6.185296018151481
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,5,0,0,0,False,8.961148104787101
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,6,1,1,1,False,14.010748826930593
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,7,3,3,3,False,2.5753750517418705
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,8,1,1,1,False,7.327184052391934
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,9,2,2,2,False,5.212093228164975
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,10,0,0,0,False,26.4356368685731
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,11,1,1,1,False,7.344874624365874
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,12,1,1,1,False,8.290608876236279
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,13,3,3,3,False,2.686569964184157
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,14,0,0,2,True,9.56119367980364
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,15,1,1,1,False,6.896773281585247
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,16,1,1,1,False,6.108245788702646
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,17,1,1,1,False,6.605636311143232
outputs/deeper_pinn/recovery_noise_910831/fits.json,11-layer Double Heston + GLS|rich|directory,18,4,4,4,False,2.4156362995032286
